Mover,Segment,U_Start,U_End,Ax,Bx,Cx,Dx,Ay,By,Cy,Dy,Length_mm,NumRawPoints
5,83,0.6673346693386772,0.6753507014028055,920961.0861281714,-4101897.987621254,6094287.393044995,-3016587.622491572,911742.4216785184,-4059061.555368072,6028713.878787912,-2985988.512245711,21.793505046507207,3.0
5,84,0.6753507014028055,0.6833667334669338,-535266.1042856955,2366861.965048061,-3484084.1689193635,1711016.1454809466,-692269.6054252245,3066178.814288617,-4521716.223463389,2221394.891338265,21.931062750615247,2.0
5,85,0.6833667334669338,0.68937875751503,339916.4939700594,-1475215.3064735378,2138193.1287031537,-1031424.1003779356,455126.24739124445,-1970922.6275479065,2849291.45828566,-1374042.8732685538,16.358178665517425,2.0
5,86,0.68937875751503,0.721442885771543,34361.35343799802,-145517.5001465148,209358.2294090124,-98780.09383939224,54073.915446792,-225645.47370823947,317624.8891984681,-149913.39848705308,87.53285946758783,12.0
5,87,0.721442885771543,0.7254509018036072,4676217.656217922,-19447903.292539705,26964609.64719846,-12460697.184095817,4358736.169402187,-18125866.01307276,25129319.470150955,-11613835.24653825,10.75657105901745,2.0
5,88,0.7254509018036072,0.7294589178356713,-8648272.09368107,35653646.861048125,-48990289.59766431,22439390.037991226,-7052357.808229881,29063105.4911129,-39918461.69169612,18274601.953978967,10.995726425067506,1.0
5,89,0.7294589178356713,0.7374749498997996,6466161.695189765,-26506538.25417067,36223810.32677024,-16500020.092313576,3175156.0381274666,-12998950.080307296,17743532.072421122,-8074605.819184503,21.69883197037087,3.0
5,90,0.7374749498997996,0.7414829659318637,-23114136.62348735,93824186.15631749,-126942036.08853844,57249760.12620005,-11706530.552168405,47538780.424238674,-64344314.45412357,29028505.971346118,11.024628284418872,1.0
5,91,0.7414829659318637,0.7454909819639278,13886135.15475591,-55876913.443764046,74952149.58832829,-33511680.101508517,7812736.014377893,-31435117.008517563,42163725.59708013,-18852135.45707789,10.109613015350916,2.0
5,92,0.7454909819639278,0.751503006012024,163891.69312326048,-655949.8360648984,878867.7597210937,-391099.785670711,116109.87200263368,-462403.7420235696,616994.6293906062,-275236.93299449334,16.452513709806126,2.0
5,93,0.751503006012024,0.7675350701402806,-123688.2748818877,492069.3962116533,-648763.1653615711,286489.39798817766,-224399.170856136,896908.357068639,-1191796.670468093,527062.4968983874,43.71315554512054,7.0
5,94,0.7675350701402806,0.783567134268537,190033.81093560727,-734149.8269444566,948843.6031890784,-407336.3439672393,371602.8445206959,-1432634.7683076467,1843299.986353752,-791051.7169868177,43.80886221926302,6.0
5,95,0.783567134268537,0.7915831663326652,-678727.5202348846,2592028.4665650744,-3296074.4747169474,1398472.7957387343,-1167491.3818953894,4460009.878610206,-5676980.522116858,2408112.795994286,21.89227931375207,3.0
5,96,0.7915831663326652,0.7955911823647294,4684227.1409749,-17732890.844399605,22380215.99660299,-9413737.28458924,7371016.561998532,-27899854.404957395,35202949.294339426,-14806304.907306718,11.03211795443616,2.0
5,97,0.7955911823647294,0.7995991983967935,-3069986.585434136,11506549.83175739,-14371625.054788295,5984389.234843384,-4778554.125467215,17913514.15709859,-22381108.41968056,9320013.14415926,10.708766709113256,1.0
5,98,0.7995991983967935,0.8076152304609218,-187515.59407912992,691865.43562094,-846493.4415750417,346092.93159073853,-299283.8998930254,1107831.1303202366,-1363474.7596244274,558276.1380038607,21.88225238721517,3.0
5,99,0.8076152304609218,0.813627254509018,-1932561.3649609503,7174082.604380457,-8872861.598426156,3658878.465311753,-2756476.7329346337,10235418.40343013,-12665375.626328738,5222997.8356758645,16.419335272373864,2.0
5,100,0.813627254509018,0.8216432865731462,1278991.112249948,-4667528.376862683,5681236.627288936,-2303761.1197718526,1455918.5436556097,-5296492.25926838,6424337.2325051455,-2597828.696802058,21.579845589083178,3.0
5,101,0.8216432865731462,0.8236472945891783,-16967259.487823978,61953537.838529184,-75401475.66900508,30590770.128887262,21240058.02238744,-77532728.35600387,94341122.14048322,-38264882.08629885,5.747492247546026,0.0
5,102,0.8236472945891783,0.8256513026052104,168520677.10816547,-613655807.8651112,744863885.6597457,-301373881.3739892,-116021484.93307544,422419898.9051347,-512657323.1230403,207389800.9522237,4.597378738411985,1.0
5,103,0.8256513026052104,0.8276553106212424,-181323210.88835743,657500260.8989539,-794715916.0714885,320187867.0595755,116789710.45800067,-423498449.39690655,511889414.26219904,-206241932.02126703,5.135031534588202,1.0
5,104,0.8276553106212424,0.8296593186372745,29420246.095784307,-106380986.32927908,128230191.35439104,-51523277.093381695,-20060758.135847166,72543079.62244031,-87444055.42461474,35136115.89941103,5.758205588835732,1.0
5,105,0.8296593186372745,0.8376753507014028,-275442.53008309024,996902.2526617164,-1193882.081329876,475605.8731438682,265197.0074048144,-954395.85931867,1143481.448326647,-455817.1920525394,21.783161735630888,2.0
5,106,0.8376753507014028,0.845691382765531,39374.27042923742,-130563.6573070741,152064.064781192,-59981.9473580641,-63614.744576657984,223190.726126938,-262297.7529588996,103579.79474290536,21.883118357737985,4.0
5,107,0.845691382765531,0.8757515030060119,1979.4846957837365,2090.3574867177927,-4794.592522367592,1844.648214192015,5041.207590025288,-20358.94305203091,25691.0738664688,-9932.388974202757,82.09636004794646,14.0
5,108,0.8757515030060119,0.907815631262525,4353.414983854444,-6041.847641982091,4491.380839694747,-1689.8298236944138,-13264.824303534784,42350.735997533,-45915.63058600808,17322.947045466175,87.60988318841022,14.0
5,109,0.907815631262525,0.9158316633266532,-88728.73240118807,301560.74537216505,-334346.79557103245,122725.36519393098,1359443.7545059952,-4493951.123777008,4951026.153139148,-1817462.888185478,21.44292596994068,4.0
5,110,0.9158316633266532,0.9178356713426852,-10108250.897287654,33122621.31612718,-36171784.92425102,13166402.700140186,150536522.53823662,-493154972.87267154,538521813.5769868,-196020105.42976096,4.407789409221161,1.0
5,111,0.9178356713426852,0.9198396793587174,15578677.066258186,-50836617.02760235,55303455.1052709,-20054954.486709483,-211150034.79478112,689038861.9035896,-749501600.2949659,271755501.20932525,6.050454089640042,1.0
5,112,0.9198396793587174,0.9238476953907816,-8211399.21669004,26753239.607634027,-29048044.809724644,10512509.897882223,-13015364.31987543,42834936.62922401,-46983607.45856404,17175633.071805593,8.891806699196904,2.0
